ReportingMonth,CustomerID,PodID,OffpeakConsumption,StandardConsumption,PeakConsumption,Block1Consumption,Block2Consumption,Block3Consumption,Block4Consumption,NonTOUConsumption
2021-02-01,5865590644,4081764659,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2022-05-01,8280400165,7175468693,0.0,5448.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,5594762815,7012502125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,5192897429,5192897082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-01,8874586402,8874586476,576.0,1324.0,594.0,0.0,0.0,0.0,0.0,0.0
2016-10-01,7544553739,3750380508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01,5881992938,6901034562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,7892416416,7892416169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,9128507253,5429748274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-01,7317781435,5893445646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-01,7401697565,8227454694,0.0,267.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-01,9430525435,9430525220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-01,6745032728,6972818271,0.0,0.0,0.0,1200.0,746.0,0.0,0.0,0.0
2025-01-01,8425866551,8425866299,0.0,0.0,0.0,600.0,667.0,0.0,0.0,0.0
2023-03-01,6299352080,3669395950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-01,7949147340,7949147620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-01,7196664146,9333031232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-01,5265158756,8479043107,0.0,0.0,0.0,600.0,98.0,0.0,0.0,0.0
2016-03-01,7776648274,7776648366,0.0,0.0,0.0,191.0,0.0,0.0,0.0,0.0
2021-09-01,7877261860,7877261732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-01,6716646990,9489292889,0.0,0.0,0.0,1200.0,1182.0,0.0,0.0,0.0
2021-09-01,8284371832,8284371180,0.0,0.0,0.0,1860.0,374.0,0.0,0.0,0.0
2023-02-01,7952837557,3749314273,0.0,0.0,0.0,600.0,963.0,0.0,0.0,0.0
2021-03-01,6697828600,6697828968,0.0,0.0,0.0,600.0,1095.0,0.0,0.0,0.0
2016-04-01,7746102791,7336008556,0.0,0.0,0.0,540.0,0.0,0.0,0.0,0.0
2016-06-01,7531395081,7531395539,0.0,0.0,0.0,1840.0,131.0,0.0,0.0,0.0
2016-07-01,9001576507,9994563207,0.0,0.0,0.0,600.0,19.0,0.0,0.0,0.0
2024-06-01,5938576058,3924535756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,6818296222,6818296779,0.0,0.0,0.0,3080.0,762.0,0.0,0.0,0.0
2024-06-01,5305684719,5305684578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,5681153995,5681153197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-01,8038131811,8038131573,0.0,0.0,0.0,600.0,15.0,0.0,0.0,0.0
2022-10-01,7468606777,7468606408,0.0,0.0,0.0,982.0,0.0,0.0,0.0,0.0
2023-06-01,8818127056,9205338967,0.0,0.0,0.0,772.0,0.0,0.0,0.0,0.0
2021-08-01,6395457494,6395457010,0.0,84858.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,6170672678,6170672502,0.0,0.0,0.0,553.0,0.0,0.0,0.0,0.0
2023-11-01,7483811998,6245347590,0.0,0.0,0.0,1582.0,0.0,0.0,0.0,0.0
2025-01-01,6399415232,0622836197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-01,6820254078,5150032455,5006.0,3732.0,1566.0,0.0,0.0,0.0,0.0,0.0
2024-07-01,5331671545,4204208156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-01,7893099692,7893099339,0.0,0.0,0.0,1192.0,0.0,0.0,0.0,0.0
2022-06-01,8937630668,7177326941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01,9515818328,9515818797,0.0,0.0,0.0,600.0,589.0,0.0,0.0,0.0
2022-10-01,7414749899,9219234473,0.0,0.0,0.0,1200.0,15152.0,0.0,0.0,0.0
2023-07-01,8238020308,2911500358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-01,9793241421,7105171952,0.0,0.0,0.0,362.0,0.0,0.0,0.0,0.0
2021-11-01,9372895023,9372895515,0.0,0.0,0.0,836.0,0.0,0.0,0.0,0.0
2022-07-01,8819004606,6230957792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-01,7974504703,7974504501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-01,9635257490,9635257250,0.0,0.0,0.0,1876.0,0.0,0.0,0.0,0.0
2023-07-01,7169812608,7169812944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,8532062776,9301055761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-01,9149595615,9149595495,0.0,0.0,0.0,1800.0,362.0,0.0,0.0,0.0
2024-04-01,5005641999,0522400000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-01,8392955100,8392955089,0.0,0.0,0.0,330.0,0.0,0.0,0.0,0.0
2023-01-01,9276314558,9276314546,0.0,0.0,0.0,600.0,158.0,0.0,0.0,0.0
2016-02-01,9294035280,9294035559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-01,6275505031,9308021262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-01,5001039136,3200300000,0.0,0.0,0.0,540.0,0.0,0.0,0.0,0.0
2023-11-01,7863954095,7863954233,0.0,0.0,0.0,600.0,1557.0,0.0,0.0,0.0
